ds,y_hat,y_lower,y_upper,y
2016.02.22,1.11104,1.11240,1.10023,1.10293
2016.02.23,1.10294,1.10520,1.09893,1.10186
2016.02.24,1.10186,1.10458,1.09562,1.10127
2016.02.25,1.10127,1.10493,1.09860,1.10166
2016.02.26,1.10165,1.10674,1.09109,1.09267
2016.02.29,1.09123,1.09620,1.08585,1.08718
2016.03.01,1.08720,1.08927,1.08334,1.08662
2016.03.02,1.08665,1.08803,1.08248,1.08673
2016.03.03,1.08671,1.09720,1.08528,1.09554
2016.03.04,1.09548,1.10427,1.09024,1.10102
2016.03.07,1.09861,1.10250,1.09392,1.10134
2016.03.08,1.10126,1.10571,1.09928,1.10100
2016.03.09,1.10101,1.10341,1.09453,1.09976
2016.03.10,1.09978,1.12172,1.08213,1.11766
2016.03.11,1.11766,1.12089,1.10796,1.11473
2016.03.13,1.11353,1.11441,1.11342,1.11431
2016.03.14,1.11440,1.11754,1.10768,1.11004
2016.03.15,1.11007,1.11244,1.10709,1.11050
2016.03.16,1.11047,1.12415,1.10571,1.12114
2016.03.17,1.12115,1.13416,1.12045,1.13145
2016.03.18,1.13135,1.13361,1.12553,1.12709
2016.03.20,1.12588,1.12711,1.12588,1.12665
2016.03.21,1.12665,1.12840,1.12337,1.12382
2016.03.22,1.12383,1.12592,1.11875,1.12145
2016.03.23,1.12151,1.12227,1.11586,1.11790
2016.03.24,1.11797,1.11868,1.11435,1.11783
2016.03.25,1.11783,1.11786,1.11528,1.11656
2016.03.28,1.11598,1.12193,1.11521,1.11955
2016.03.29,1.11955,1.13027,1.11682,1.12893
2016.03.30,1.12869,1.13646,1.12824,1.13361
2016.03.31,1.13357,1.14111,1.13094,1.13790
2016.04.01,1.13777,1.14372,1.13341,1.13916
2016.04.04,1.13997,1.14118,1.13566,1.13877
2016.04.05,1.13846,1.14044,1.13350,1.13825
2016.04.06,1.13817,1.14309,1.13259,1.13960
2016.04.07,1.13963,1.14533,1.13367,1.13767
2016.04.08,1.13767,1.14186,1.13482,1.13941
2016.04.11,1.14161,1.14466,1.13713,1.14051
2016.04.12,1.14026,1.14639,1.13450,1.13834
2016.04.13,1.13826,1.13903,1.12671,1.12722
2016.04.14,1.12718,1.12940,1.12331,1.12644
2016.04.15,1.12647,1.13162,1.12448,1.12824
2016.04.18,1.13006,1.13313,1.12729,1.13108
2016.04.19,1.13095,1.13839,1.13027,1.13562
2016.04.20,1.13561,1.13872,1.12896,1.12940
2016.04.21,1.12935,1.13956,1.12684,1.12860
2016.04.22,1.12855,1.13078,1.12174,1.12217
2016.04.25,1.12151,1.12775,1.12144,1.12662
2016.04.26,1.12618,1.13388,1.12555,1.12947
2016.04.27,1.12945,1.13600,1.12707,1.13190
2016.04.28,1.13197,1.13671,1.12954,1.13508
2016.04.29,1.13474,1.14585,1.13458,1.14490
2016.05.02,1.14597,1.15352,1.14475,1.15304
2016.05.03,1.15312,1.16155,1.14945,1.14955
2016.05.04,1.14954,1.15287,1.14657,1.14855
2016.05.05,1.14856,1.14930,1.13852,1.14043
2016.05.06,1.14041,1.14790,1.13858,1.14014
2016.05.09,1.13952,1.14191,1.13743,1.13814
2016.05.10,1.13827,1.14091,1.13579,1.13713
2016.05.11,1.13713,1.14458,1.13682,1.14253
2016.05.12,1.14250,1.14284,1.13698,1.13761
2016.05.13,1.13754,1.13788,1.12822,1.13080
